Naam deelnemende onderneming,straat en huisnummer,objectbeschrijving,Kolom2,Kolom22,Kolom3
"Kookwinkel ""het Pauwtje""",Voldersgracht 5,Context Variation by Design: welbewust ontwerpen voor schaalbaarheid,"Waarom?
Bij CVD (Context Variation by Design: opzettelijke contextvariatie) wordt de complexiteit van de werkelijkheid als uitgangspunt genomen bij het aanpakken van maatschappelijke problemen. Dit maakt het mogelijk om oplossingen te bedenken die makkelijker zijn aan te passen aan verschillende contextuele behoeften.
Hoe?
Bij CVD wordt uitgegaan van vier principes: systematische variatie, hiërarchische ontleding, satisficing (het onderzoeken van de beschikbare mogelijkheden tot één van die mogelijkheden voldoet) en discursiveness . Met behulp van deze principes worden ontwerpruimtes gecreëerd die zijn gebaseerd op collectieve intelligentie en niet slechts op contextspecifieke intelligentie. Er kunnen onverwachte verbanden tussen verschillende contexten mee worden ontdekt en dat kan leiden tot nieuwe oplossingen.
","Why?
Context Variation by Design (CVD) acknowledges reality’s complexity as starting point to address societal challenges. This enables design of solution architectures that can be easier adapted to different contextual demands.
How?
CVD uses four principles: systematic variation, hierarchical decomposition, satisficing, and discursiveness. These principles create design spaces based on collective- instead of only context-specific intelligence. They reveal unexpected connections between contexts and inspire novel solutions.
When?
We are already applying this approach in a variety of projects, working with a variety of companies. We aim at increasing our understanding of CVD’s applicability and its conditions for success.
","Ir. Wouter Kersten
Prof.dr.ir. Jo van Engelen 
Dr.ir. Jan-Carel Diehl"
De Blauwen Hont ,Voorstraat 16,Schaats,"Otto den Braver bedacht de PeakSkate tijdens zijn studie Werktuigbouwkunde. 
De PeakSkate is een nieuw soort schaats waarmee je nóg sneller kunt rijden. 
Het idee is relatief eenvoudig: bij conventionele schaatsen bezit het glij-ijzer een ronding om te kunnen sturen. 
Hoe vlakker deze ronding, hoe beter het ijzer glijdt. Maar het ijzer glijdt niet alleen beter, het wordt ook minder stuurbaar. 
De PeakSkate is zodanig ontworpen dat het ijzer vlak is, terwijl je er toch goed meer kan sturen. ","Otto den Braver thought up the PeakSkate during his mechanical engineering studies. The PeakSkate is a new kind of ice skate that produces faster times than ever. 
The idea is relatively simple: the blades of conventional skates are curved to facilitate steering. 
The flatter the curve, the better the blades glide. But flatter blades don’t just glide better, they also make it harder for the skater to steer. 
The PeakSkate was developed with a flat blade, but one that leaves the skater in control. ",Otto den Braver
Bonne Vie,Hippolytusbuurt 47,Gesteentes proefboring voor geothermie,"Duurzame energie uit de grond? Dat kan! Water diep in de ondergrond wordt opgewarmd door de aarde en kan gebruikt worden om energie op te wekken.
Maar dan moet het water wel omhoog gepompt worden. 
Om dit verantwoord te kunnen doen is het belangrijk om goed te weten wat de eigenschappen zijn van het gesteente waar het water zich bevind
en hoe het reageert op boren en pompen. Dit onderzoekt Richard Bakker, zodat we in de toekomst verantwoord met aardwarmte onze huizen kunnen verlichten en verwarmen.","Sustainable energy from the earth? It’s possible! 
Water deep underground is heated by the earth and can be used for energy. 
But it does need to be pumped up. To do this responsibly, it is essential to have detailed knowledge of the properties of the rock where the water is located and how it responds to drilling and pumping. Richard Bakker is studying this so we can light and heat our homes responsibly with geothermal power in the future.",Richard Bakker
Pleck,Voldersgracht 17A,Stapel versnipperd plastic,"Plastic recyclen lijkt een logische stap in de vermindering van  afval, maar is heel lastig.  Er zijn eigenlijk 250 soorten verpakkingsplastic die zich heel slecht laten mengen. 
Professor Peter Rem van de TU Delft werkt hard aan een oplossing. 
Met magnetische vloeistof is het al mogelijk om versnipperd plastic in een aantal soorten te onderscheiden. 
Er wordt ook hard gewerkt aan effectief sorteren op kleur. Slimme techniek wordt de absolute doorbraak in recycling, al moet er nog veel gebeuren!","Plastic recycling seems to be a logical step in waste reduction, but is quite difficult.  
There are actually 250 types of packaging plastic that do not mix well. 
Professor Peter Rem at TU Delft is working hard to find a solution. It is already possible to use magnetic liquid to sort shredded plastic into several types. We are also hard at work on effective sorting by colour. Smart technology will be a major breakthrough in recycling, though a great deal of work lies ahead!",prof. Peter Rem
Wines & Whiskies,Voldersgracht 22,Evolutionaire manipulatie van biergist,"Waarom?
Gebruik maken van evolutionaire druk is een strategie om de prestaties van micro-organismen te verbeteren, want die organismen zijn de werkpaarden van vele industriële processen. 
Het vermogen van biergist om maltotriose, een suiker die veel voorkomt in wort van gerst, om te zetten in alcohol hebben we op die manier aanzienlijk weten te verbeteren.
Hoe?
Er werd gebruikgemaakt van een groeimedium dat was verrijkt met maltotriose om gedurende een groot aantal generaties evolutionaire druk uit te oefenen op een standaardgist.
Tijdens dit survival-of-the-fittest-achtige proces ontwikkelde de gistpopulatie de gewenste verbeterde fermentatievermogens (dankzij natuurlijk voorkomende mutaties).
Wanneer?
De geëvolueerde standaardgist is getest in een bak van 10 hL, en de resultaten kwamen overeen met die in het laboratorium. 
Vanwege de nauwe samenwerking met de industrie kon de technologie met succes worden toegepast op industriële schaal.
","Why?
Evolutionary engineering is a strategy to improve the performance of microorganisms, the workhorses of many industrial processes. In this case the ability of lager brewing yeast to fast and more completely ferment maltotriose, an abundant sugar in barley wort, has been improved.
How?
A maltotriose-enriched growth medium was used to create an evolutionary pressure to a model yeast over a multitude of generations. In this survival-of-the-fittest-like process, the yeast population evolved (via naturally occurring mutations) the enhanced fermentation characteristics.
When?
The evolved model yeast has been tested in a 10 hL batch, with results that match the lab results. Because of the close collaboration with industry, a successful technology transfer from laboratory to industrial scale could be demonstrated.
","Anja Brickwedde MSc
Prof.dr. Jack Pronk 
Dr. Jean-Marc Daran"
Knotten,Voldersgracht 23,Playscapes,"Een steen is niet zomaar een steen; het is een edelsteen. In een holle eik woont een elf, een afgevallen tak is het zwaard van een ridder, en met een emmer bladeren en eikels maak je een ketel heksensoep. 
Het bos is een heerlijke plek om in te spelen. 
Maar wat doe je als je een kind niet naar het bos kunt brengen? Dan breng je het bos naar het kind! 
Dat is de essentie van Stickz, een set van zachte ambigue takvormige objecten ontworpen door promovendus Boudewijn Boon. 
Soms is een ontwerp zo treffend dat je je afvraagt waarom het niet al veel eerder is bedacht. Een ontwerp met een primaire aantrekkingskracht die meteen nieuwsgierig maakt","A stone is no mere stone: it’s a gem! A hollow oak is home to an elf, a fallen branch is a knight’s sword, and a bucket of leaves and acorns is a cauldron of witch’s brew. 
The woods are a lovely place to play. 
But what if can’t take a child to the woods? You take the woods to the child! 
That’s the idea behind Stickz, a set of soft, ambiguous branch-like objects designed by PhD candidate Boudewijn Boon. 
Sometimes an invention is so compelling, you wonder why it wasn’t thought up years ago. An invention with a primary appeal, that also stimulates curiosity.
","Stickz is ontworpen binnen het onderzoeksproject 'Meedoen=Groeien!’
Dit project is een samenwerking tussen de TU Delft, het Revalidatiefonds en het Prinses Máxima Centrum voor kinderoncologie. 
Voor meer informatie zie: www.meedoenisgroeien.nl "
Lu-st,Voorstraat 8,fly high,"Een drone die op 20 km hoogte moet vliegen – het model is 1.30 lang!
Het maken van dit vliegtuig was voor de Dienst Elektronische en Mechanische Ontwikkeling (bij Lucht- en Ruimtevaart) een mooie uitdaging. 
De samenwerking met opdrachtgever Estec was interessant en leerzaam.  
","A drone designed to fly at a height of 20 kilometres – and the model is only 1.30 metres long!
Developing this craft was an exciting challenge for the Electronic and Mechanical Support Division (at Aerospace Engineering). 
Collaborating with the client Estec proved interesting and instructive.","Faculteit Luchtvaart- en Ruimtevaart 
TUDelft"
Fijn bar & kitchen,Burgwal 11,Stenen uit aardbevingsgebied ,"Bij een aardbeving kan schade ontstaan aan gebouwen. Dat zien we in Groningen, vooral door scheuren in muren. 
Niemand weet nog precies wat gebouwen bij Groningse aardbevingen aankunnen. 
In het Stevinlab van de TU Delft doen we proeven met metselwerk om onder andere de sterkte te bepalen. 
Deze proeven leveren input voor rekenmodellen en computersimulaties. Maar we testen ook “live” op gebouwdelen. 
Door het onderzoek weten we meer over schade en instortingsgevaar bij aardbevingen.
De volgende stap is preventief versterken van bestaande gebouwen om dat soort schades tegen te gaan. ","Earthquakes can damage buildings. We can see this in Groningen, particularly in the cracks in walls. 
No one really knows what buildings in Groningen can withstand in terms of earthquakes. 
In the Stevin Lab at TU Delft, we run experiments with masonry to determine its strength, among other things. 
These tests provide input for computer models and simulations. 
But we also conduct ‘live’ testing on building components. 
Our research is teaching us more about damage and the risk of collapse from earthquakes. The next step is preventive reinforcement of existing buildings to avert this kind of damage.",Roel Schipper
Ray Brandstore,Wijnhaven 15,Schaalmodel Superbus,"De superbus is een concept van Wubbo Ockels voor een autobus die tussen de 150 en 250 km/uur zou moeten kunnen rijden. 
Een team verbonden aan de TUDelft heeft een prototype ontwikkeld en er zijn testritten gemaakt. 
Een werkend prototype heeft op 17 september 2010 de eerste testritten gemaakt op een terrein van Rijkswaterstaat en werd aan het grote publiek getoond op de transportbeurs in Hannover.
De Superbus is geschikt bevonden om op de weg te rijden. Minister van Infrastructuur en Milieu overhandigde het kenteken op dinsdag 15 mei 2012. 
Aandrijving  :  volledig elektrisch (4 elektromotoren)
Vermogen  :  400 kW (530pk)
Bereik  :  210 km
Kruissnelheid :  250 km/h
Bezetting   :  23 passagiers en 1 bestuurder
Lengte  :  15 meter
Breedte   : 2,50 ","Scale model of the Superbus 
The Superbus is a design by Wubbo Ockels for a bus that can travel at between 150 and 250 km an hour. 
A team affiliated with the Delft University of Technology developed a prototype and conducted some test drives. 
A working prototype made initial test runs on 17 September 2010 on a site belonging to the Dutch Ministry of Infrastructure and Water Management, and was unveiled to the general public at a transport trade show in Hanover.
The Superbus has been deemed suitable for road travel. The Minister for Infrastructure and the Environment handed out the number plate on Tuesday, 15 May 2012. 
Drive   :  All electric (4 electric motors)
Power   :  400 kW (530 hp)
Range   :  210 km
Cruising speed  :  250 km/h
Capacity   : 23 passengers and 1 driver
Length   : 15 metres
Width    : 2.50 metres
Height    :  1.65 metres
Weight   :  10 metric tonnes (with batteries and passengers)
Height adjustment  :  33 centimetres (from 7 to 40 cm off the ground)
Wubbo Ockels (1946-2014) was a Dutch physicist, astronaut, pilot and professor.
In 1985, he became the first Dutch citizen in space.
Until his death in 2014, he served as Professor of Aerospace for Sustainable Science and Technology in the Faculty of Aerospace Technology at Delft University of Technology.
",Science Centre
Drogisterij de Salamander,Markt 47,Exo-L,"De band van EXO-L werkt als een veiligheidsriem voor de enkel die op spanning komt te staan wanneer je dreigt te verzwikken. 
De band van EXO-L wordt niet aangespannen zolang je normale sportbewegingen maakt en dat zorgt voor veel bewegingsvrijheid.
Je krijgt de mogelijkheid om jouw EXO-L Enkelband volgens eigen smaak aan te passen. 
Zo kun je je naam erin laten graveren en zelf bepalen welke kleur perfect bij je outfit past.
Elke EXO-L Enkelband wordt op maat gemaakt met behulp van een 3D-scan en high-end 3D-printtechnologie.
","The EXO-L belt functions as a safety belt for your ankle and tenses up to prevent a sprain. The EXO-L belt is not activated during normal athletic movement, so you enjoy freedom of movement.
You can also personalise your EXO-L Ankle Belt. For instance, you can have your name engraved on it, and pick the colour that goes best with your outfit.
Each EXO-L Ankle Band is custom-made using a 3D scanner and high-end 3D printing technology.
",www.exo-l.com
ANWB winkel Delft,Pijnepoort 3,Polaire Kleding Antarctica onderzoek ,"Stef Lhermitte onderzoekt aan de TU-Delft dagelijks satellietbeelden van de polen. 
Ook reist hij regelmatig naar Antarctica voor veldonderzoek, in de kleren die je hier ziet. 
In 2017 werd Stef opeens wereldnieuws.  Hij stuitte op een onbekende scheur in de Petermann-gletsjer. O
mdat hij geen expert is op het gebied van deze gletsjer in Groenland, plaatste hij een foto van zijn beelden op Twitter. 
Niet veel later had hij de Washington Post aan de telefoon en kort daarop de NASA. De scheur kan een gevolg zijn van klimaatverandering.","At TU Delft, Stef Lhermitte studies daily satellite images of the poles.
He also travels regularly to Antarctica for field research, in the clothes you see here. In 2017, Stef suddenly made world news.  
He came upon an unknown crack in the Petermann Glacier. 
Not being an expert on this Greenlandic glacier, he posted a photo of his images on Twitter. 
Shortly thereafter, he had the Washington Post on the phone – and then NASA. The crack may be result of climate change.",Stef Lhermitte
Rijwielsporthuis Piet Vonk,Voldersgracht 20,Zandmotor overzichtsmaquette,"De Zandmotor ten Zuiden van Den Haag is een kustbeschermingsproject waaraan TU onderzoekers constant meten. 
De berg zand van 21,5 miljoen m3 die er in 2011 is neergestort, verspreid zich langs de kust. 
We willen weten hoe dat zand zich verspreid en wat er met de omgeving gebeurt. 
Kan de natuur op deze manier zelf aan kustonderhoud doen? De kust wordt in dit pilotproject  breder en veiliger, en er ontstaat ook meer ruimte voor natuur en recreatie.","The Sand Engine to the south of The Hague is a coast protection project where TU researchers are taking continuous measurements.
The mountain of sand measuring 21.5 million m3 that was deposited in 2011 is spreading along the coast. 
We want to know how the sand is spreading and what is happening with the local environment. 
Can nature provide its own coastal preservation using this method? 
This pilot project is making the coast wider and safer, and creating more space for nature and recreation. ",Sierd de Vries
Topdeal Watches,Molslaan 26,Miniatuur meettreintje,"Om het spoor te verbeteren heeft de TU Delft een eigen meettrein (CTO - Creatief Treintechnisch Onderzoeksplatform), 
waarmee we innovatieve manieren inzetten om slechte stukken spoorlijn te verbeteren en de levensduur te vergroten. 
Onderzoekers kunnen real-life testen doen en studenten kunnen in het rijdende klaslokaal leren over de uitdagingen van Railbouwkunde.","To improve railways, TU Delft has its own measurement train (the Creative Train Technology Research Platform, or ‘CTO’), 
which is used for innovative approaches to improving and extending the service life of stretches of track.
Researchers can conduct real-world tests and students can learn about the challenges of rail construction in a moving classroom.",prof. Rolf Dollevoet
Halfords,Wijnhaven 17,Eco-runner,"Het Human Power Team heeft als doel om puur op spierkracht de allersnelste te worden. Om dit te bereiken rekruteren en trainen ze atleten, en bouwen ze een hypermoderne fiets, die je hier ziet: de VeloX. Voor de training van de atleten zie je technieken terug die ook in de Olympische teams gebruikt worden. Op technisch vlak is efficiëntie erg belangrijk: om de fiets zit een aerodynamische kap die de luchtweerstand 
verminderd, en onze aandrijflijn maakt een overbrenging van 1 op 18. Dat is 10 keer beter dan op een normale fiets!","The Human Power Team’s objective is to be the fastest on earth while only using muscle power. To reach this goal, they recruit and train athletes and build a high-tech bicycle, the VeloX. 
The athletes are trained using principles you will also see at Olympic teams. On the engineering side of the project, efficiency is the most important. 
An aerodynamic shell covers the bike to reduce air resistance, and our drivetrain has a gear ratio of 1 to 18, which is 10 times better than in a regular bike!",Human Power Team
Van Waay & Soetekouw,Markt 17,Tovertafel,"De Active Cues Tovertafel is een speels product dat ouderen in de midden en late fasen van dementie en mensen met een verstandelijke beperking stimuleert in fysieke en cognitieve activiteit en sociale interactie.
Diverse spellen worden geprojecteerd op tafel, vloer, ligmat en rolstoelblad en reageren op bewegingen. 
De spellen zijn samen met de doelgroepen ontwikkeld middels co-design en sluiten daarom perfect aan bij hun behoeften en mogelijkheden. 
De tovertafelspellen creëren een vrolijke sfeer. Ze zijn zeer geschikt als zelfstandige activiteit, maar zorgen ook voor waardevolle interacties met familie en zorgpersoneel.
","The Active Cues Tovertafel  is a fun product that stimulates physical and cognitive activity and social interaction in seniors in the middle to late stages of dementia and in persons with an intellectual disability.
Various games are projected onto the table, floor, mat or wheelchair tray and respond to movement. The games were developed along with the target groups using co-design, so they meet their needs and abilities perfectly. 
Tovertafel games create a fun atmosphere. They are excellently suited for independent activities, but also provide for valuable interactions with family and caregivers.
",Active Cues Tovertafel 
Something Extra,Oude Langendijk 36,3D geprinte microscoop van Anthonie van Leeuwenhoek,Deze uitvergrote 3D geprinte microscoop is naar voorbeeld van een originele microscoop gemaakt.,This enlarged 3D printed microscope is made from an original microscope. ,Science Centre
Miss Morrison,Voorstraat 7,Regenmeter TAHMO,"Het project Tahmo (Trans-African hydro-meteorological observatory) gaat de klimaat -datakloof dichten. Het doel van Tahmo is om 20.000 weerstations te installeren in Afrika.
De weerstations halen hun energie uit een piepklein zonnepaneel en rapporteren met een gsm-telefoon elke vijf minuten hun gegevens over regen, zon, temperatuur, luchtdruk, wind en nog veel meer. Pas met dit soort informatie kan de landbouw ter plaatse optimaal inspelen op een sterk stijgende voedselbehoefte.","The TAHMO (Trans-African Hydro-Meteorological Observatory) project will bridge the climate data gap.  
The goal of TAHMO is to install 20,000 weather stations in Africa. 
The weather stations are powered by a tiny solar panel and transmit data every five minutes using a mobile phone: on rain, sun, temperature, air pressure, wind and much more. 
This kind of data is critical in order to optimise local agriculture to meet the sharply increasing demand for food.",Prof. Nick van de Giesen
Chocolaterie Leonidas,Choorstraat 18,Biosynthese van fosfolipiden zonder cellen,"Waarom?
Lipiden zijn interessant voor zowel wetenschap als industrie (denk bijvoorbeeld aan cosmetica, de toediening van medicijnen en emulgatoren). Het produceren van lipiden in vitro in plaats van in levende organismen (in vivo) biedt een veelzijdig platform voor de synthese van lipiden. Bij dit onderzoek wordt een minimalistische cel gemaakt die in staat is om lipide te produceren en om te groeien en zich te delen.
Hoe?
Er wordt gebruikgemaakt van celvrije genexpressie voor de synthese – in blaasjes op micrometerschaal – van de proteïnemachinerie die nodig is om met eenvoudige uitgangsstoffen aanzienlijke hoeveelheden fosfolipiden te produceren.
Wanneer?
Het prototype van de machinerie voor de synthese van fosfolipiden produceert al een matige hoeveelheid lipiden. Op dit moment proberen we die opbrengst te vergroten door verschillende uitgangsstoffen te gebruiken en door het moleculaire transport door het membraan van de blaasjes te verbeteren.
","Why?
Lipids are interesting for science & industry (e.g. for cosmetics, drug delivery, emulsifiers). Producing lipids in vitro rather than inside living organisms (in vivo) provides a versatile lipid synthesis platform. This research is key to build a minimalistic cell whose lipid compartment can grow and divide.
How?
Cell-free gene expression is used to synthesize, in a micrometre-sized vesicle, the protein machinery needed to produce important phospholipids from simple precursors.
When?
The proof of concept reconstitution of the phospholipid synthesis machinery has already resulted in a moderate yield. The current aim is to increase this yield by for instance using different precursors and improving molecular transport across the vesicle membrane.
","Duco Blanken MSc 
Dr. Christophe Danelon"
,,,,,,
,,,,,,
